ProjectName	TestCase	ApproachName	Policy	Time (ms)
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	WALA	1-CFA	1262
castor-testcases.jar	Ltestcases/TC_AccessMode_Set	SENECA	0-1-CFA	744
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Simple	SENECA	0-1-CFA	479
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Simple	SENECA	0-1-CFA	493
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Array	SENECA	0-1-CFA	496
castor-testcases.jar	Ltestcases/TC_AccessMode_Map	SENECA	0-1-CFA	625
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Simple	SENECA	0-1-CFA	485
castor-testcases.jar	Ltestcases/TC_EventListenerList_Set	SENECA	0-1-CFA	615
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_List	SENECA	0-1-CFA	614
castor-testcases.jar	Ltestcases/TC_EventListenerList_Array	SENECA	0-1-CFA	572
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Map	SENECA	0-1-CFA	591
castor-testcases.jar	Ltestcases/TC_BindingType2_Simple	SENECA	0-1-CFA	541
castor-testcases.jar	Ltestcases/TC_VisibilityType_Set	SENECA	0-1-CFA	642
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_List	SENECA	0-1-CFA	443
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_List	SENECA	0-1-CFA	388
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Map	SENECA	0-1-CFA	380
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Map	SENECA	0-1-CFA	366
castor-testcases.jar	Ltestcases/TC_BindingType_Map	SENECA	0-1-CFA	359
castor-testcases.jar	Ltestcases/TC_AccessMode_List	SENECA	0-1-CFA	357
castor-testcases.jar	Ltestcases/TC_VisibilityType_List	SENECA	0-1-CFA	391
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Set	SENECA	0-1-CFA	378
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Set	SENECA	0-1-CFA	350
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Map	SENECA	0-1-CFA	374
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Set	SENECA	0-1-CFA	365
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Set	SENECA	0-1-CFA	606
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Array	SENECA	0-1-CFA	466
castor-testcases.jar	Ltestcases/TC_BindingType2_Set	SENECA	0-1-CFA	561
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Simple	SENECA	0-1-CFA	367
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Array	SENECA	0-1-CFA	281
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Map	SENECA	0-1-CFA	334
castor-testcases.jar	Ltestcases/TC_EventListenerList_Simple	SENECA	0-1-CFA	313
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Simple	SENECA	0-1-CFA	253
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Set	SENECA	0-1-CFA	320
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Map	SENECA	0-1-CFA	338
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Map	SENECA	0-1-CFA	383
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Map	SENECA	0-1-CFA	453
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Array	SENECA	0-1-CFA	408
castor-testcases.jar	Ltestcases/TC_BindingType_List	SENECA	0-1-CFA	624
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_List	SENECA	0-1-CFA	460
castor-testcases.jar	Ltestcases/TC_AccessMode_Simple	SENECA	0-1-CFA	304
castor-testcases.jar	Ltestcases/TC_EventListenerList_List	SENECA	0-1-CFA	406
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Set	SENECA	0-1-CFA	374
castor-testcases.jar	Ltestcases/TC_AccessMode_Array	SENECA	0-1-CFA	261
castor-testcases.jar	Ltestcases/TC_EventListenerList_Map	SENECA	0-1-CFA	367
castor-testcases.jar	Ltestcases/TC_VisibilityType_Map	SENECA	0-1-CFA	461
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_List	SENECA	0-1-CFA	572
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Simple	SENECA	0-1-CFA	445
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Simple	SENECA	0-1-CFA	572
castor-testcases.jar	Ltestcases/TC_VisibilityType_Array	SENECA	0-1-CFA	399
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_List	SENECA	0-1-CFA	418
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Array	SENECA	0-1-CFA	266
castor-testcases.jar	Ltestcases/TC_BindingType_Array	SENECA	0-1-CFA	259
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Set	SENECA	0-1-CFA	367
castor-testcases.jar	Ltestcases/TC_BindingType_Set	SENECA	0-1-CFA	563
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Simple	SENECA	0-1-CFA	416
castor-testcases.jar	Ltestcases/TC_BindingType2_Map	SENECA	0-1-CFA	559
castor-testcases.jar	Ltestcases/TC_BindingType2_List	SENECA	0-1-CFA	656
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Array	SENECA	0-1-CFA	270
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_List	SENECA	0-1-CFA	349
castor-testcases.jar	Ltestcases/TC_VisibilityType_Simple	SENECA	0-1-CFA	271
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Set	SENECA	0-1-CFA	598
castor-testcases.jar	Ltestcases/TC_BindingType2_Array	SENECA	0-1-CFA	446
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Array	SENECA	0-1-CFA	407
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Array	SENECA	0-1-CFA	479
castor-testcases.jar	Ltestcases/TC_BindingType_Simple	SENECA	0-1-CFA	427
castor-testcases.jar	Ltestcases/TC_AccessMode_Set	SENECA	1-CFA	824
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Simple	SENECA	1-CFA	372
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Simple	SENECA	1-CFA	278
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Array	SENECA	1-CFA	362
castor-testcases.jar	Ltestcases/TC_AccessMode_Map	SENECA	1-CFA	609
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Simple	SENECA	1-CFA	436
castor-testcases.jar	Ltestcases/TC_EventListenerList_Set	SENECA	1-CFA	590
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_List	SENECA	1-CFA	592
castor-testcases.jar	Ltestcases/TC_EventListenerList_Array	SENECA	1-CFA	282
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Map	SENECA	1-CFA	372
castor-testcases.jar	Ltestcases/TC_BindingType2_Simple	SENECA	1-CFA	346
castor-testcases.jar	Ltestcases/TC_VisibilityType_Set	SENECA	1-CFA	586
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_List	SENECA	1-CFA	603
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_List	SENECA	1-CFA	704
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Map	SENECA	1-CFA	411
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Map	SENECA	1-CFA	429
castor-testcases.jar	Ltestcases/TC_BindingType_Map	SENECA	1-CFA	591
castor-testcases.jar	Ltestcases/TC_AccessMode_List	SENECA	1-CFA	608
castor-testcases.jar	Ltestcases/TC_VisibilityType_List	SENECA	1-CFA	649
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Set	SENECA	1-CFA	410
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Set	SENECA	1-CFA	515
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Map	SENECA	1-CFA	585
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Set	SENECA	1-CFA	597
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Set	SENECA	1-CFA	599
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Array	SENECA	1-CFA	283
castor-testcases.jar	Ltestcases/TC_BindingType2_Set	SENECA	1-CFA	607
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Simple	SENECA	1-CFA	437
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Array	SENECA	1-CFA	449
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Map	SENECA	1-CFA	652
castor-testcases.jar	Ltestcases/TC_EventListenerList_Simple	SENECA	1-CFA	508
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Simple	SENECA	1-CFA	485
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Set	SENECA	1-CFA	522
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Map	SENECA	1-CFA	652
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Map	SENECA	1-CFA	595
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Map	SENECA	1-CFA	582
