ProjectName	TestCase	ApproachName	Policy	Time (ms)	#Extra Iterations
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	WALA	1-CFA	394	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	WALA	1-CFA	452	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	WALA	1-CFA	921	0
castor-testcases.jar	Ltestcases/TC_AccessMode_Set	SENECA	0-1-CFA	662	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Simple	SENECA	0-1-CFA	439	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Simple	SENECA	0-1-CFA	441	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Array	SENECA	0-1-CFA	273	3
castor-testcases.jar	Ltestcases/TC_AccessMode_Map	SENECA	0-1-CFA	395	3
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Simple	SENECA	0-1-CFA	415	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_Set	SENECA	0-1-CFA	549	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_List	SENECA	0-1-CFA	597	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_Array	SENECA	0-1-CFA	302	3
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Map	SENECA	0-1-CFA	344	3
castor-testcases.jar	Ltestcases/TC_BindingType2_Simple	SENECA	0-1-CFA	413	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_Set	SENECA	0-1-CFA	512	3
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_List	SENECA	0-1-CFA	544	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_List	SENECA	0-1-CFA	603	3
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Map	SENECA	0-1-CFA	353	3
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Map	SENECA	0-1-CFA	503	3
castor-testcases.jar	Ltestcases/TC_BindingType_Map	SENECA	0-1-CFA	523	3
castor-testcases.jar	Ltestcases/TC_AccessMode_List	SENECA	0-1-CFA	567	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_List	SENECA	0-1-CFA	397	3
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Set	SENECA	0-1-CFA	517	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Set	SENECA	0-1-CFA	499	3
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Map	SENECA	0-1-CFA	570	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Set	SENECA	0-1-CFA	496	3
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Set	SENECA	0-1-CFA	530	3
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Array	SENECA	0-1-CFA	408	3
castor-testcases.jar	Ltestcases/TC_BindingType2_Set	SENECA	0-1-CFA	537	3
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Simple	SENECA	0-1-CFA	377	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Array	SENECA	0-1-CFA	385	3
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Map	SENECA	0-1-CFA	489	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_Simple	SENECA	0-1-CFA	538	3
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Simple	SENECA	0-1-CFA	416	3
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Set	SENECA	0-1-CFA	518	3
castor-testcases.jar	Ltestcases/TC_SqlDirtyType_Map	SENECA	0-1-CFA	567	3
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Map	SENECA	0-1-CFA	490	3
castor-testcases.jar	Ltestcases/TC_TableAccessModeType_Map	SENECA	0-1-CFA	520	3
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_Array	SENECA	0-1-CFA	429	3
castor-testcases.jar	Ltestcases/TC_BindingType_List	SENECA	0-1-CFA	480	3
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_List	SENECA	0-1-CFA	524	3
castor-testcases.jar	Ltestcases/TC_AccessMode_Simple	SENECA	0-1-CFA	432	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_List	SENECA	0-1-CFA	504	3
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Set	SENECA	0-1-CFA	508	3
castor-testcases.jar	Ltestcases/TC_AccessMode_Array	SENECA	0-1-CFA	445	3
castor-testcases.jar	Ltestcases/TC_EventListenerList_Map	SENECA	0-1-CFA	522	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_Map	SENECA	0-1-CFA	502	3
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_List	SENECA	0-1-CFA	578	3
castor-testcases.jar	Ltestcases/TC_FieldMappingCollectionType_Simple	SENECA	0-1-CFA	369	3
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Simple	SENECA	0-1-CFA	397	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_Array	SENECA	0-1-CFA	431	3
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_List	SENECA	0-1-CFA	493	3
castor-testcases.jar	Ltestcases/TC_ClassMappingAccessType_Array	SENECA	0-1-CFA	390	3
castor-testcases.jar	Ltestcases/TC_BindingType_Array	SENECA	0-1-CFA	421	3
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Set	SENECA	0-1-CFA	506	3
castor-testcases.jar	Ltestcases/TC_BindingType_Set	SENECA	0-1-CFA	502	3
castor-testcases.jar	Ltestcases/TC_BindXmlNodeType_Simple	SENECA	0-1-CFA	429	3
castor-testcases.jar	Ltestcases/TC_BindingType2_Map	SENECA	0-1-CFA	481	3
castor-testcases.jar	Ltestcases/TC_BindingType2_List	SENECA	0-1-CFA	563	3
castor-testcases.jar	Ltestcases/TC_FieldTypeCollectionType_Array	SENECA	0-1-CFA	392	3
castor-testcases.jar	Ltestcases/TC_BindXmlAutoNamingType_List	SENECA	0-1-CFA	519	3
castor-testcases.jar	Ltestcases/TC_VisibilityType_Simple	SENECA	0-1-CFA	411	3
castor-testcases.jar	Ltestcases/TC_FieldTypeVisibilityType_Set	SENECA	0-1-CFA	469	3
