ProjectName	TestCase	ApproachName	Policy	# Nodes	#Edges
castor	Ltestcases/TC_FieldTypeCollectionType_Simple	SENECA	0-1-CFA	1886	4695
castor	Ltestcases/TC_VisibilityType_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_ClassMappingAccessType_List	SENECA	0-1-CFA	2101	5421
castor	Ltestcases/TC_ClassMappingAccessType_Array	SENECA	0-1-CFA	1894	4716
castor	Ltestcases/TC_BindingType_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_FieldTypeCollectionType_Set	SENECA	0-1-CFA	2114	5417
castor	Ltestcases/TC_BindingType_Set	SENECA	0-1-CFA	2114	5417
castor	Ltestcases/TC_BindXmlNodeType_Simple	SENECA	0-1-CFA	1886	4695
castor	Ltestcases/TC_BindingType2_Map	SENECA	0-1-CFA	2120	5428
castor	Ltestcases/TC_BindingType2_List	SENECA	0-1-CFA	2102	5423
castor	Ltestcases/TC_FieldTypeCollectionType_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_BindXmlAutoNamingType_List	SENECA	0-1-CFA	2101	5418
castor	Ltestcases/TC_VisibilityType_Simple	SENECA	0-1-CFA	1886	4692
castor	Ltestcases/TC_FieldTypeVisibilityType_Set	SENECA	0-1-CFA	2114	5420
castor	Ltestcases/TC_BindingType2_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_BindXmlNodeType_Array	SENECA	0-1-CFA	1894	4716
castor	Ltestcases/TC_FieldTypeVisibilityType_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_BindingType_Simple	SENECA	0-1-CFA	1886	4692
castor	Ltestcases/TC_AccessMode_Set	SENECA	1-CFA	3971	8963
castor	Ltestcases/TC_TableAccessModeType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_SqlDirtyType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_SqlDirtyType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_AccessMode_Map	SENECA	1-CFA	3971	8970
castor	Ltestcases/TC_FieldTypeVisibilityType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_EventListenerList_Set	SENECA	1-CFA	3967	8975
castor	Ltestcases/TC_SqlDirtyType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_EventListenerList_Array	SENECA	1-CFA	3200	7084
castor	Ltestcases/TC_FieldTypeVisibilityType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_BindingType2_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_VisibilityType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_FieldMappingCollectionType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_TableAccessModeType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_ClassMappingAccessType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_BindXmlNodeType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_BindingType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_AccessMode_List	SENECA	1-CFA	3942	8950
castor	Ltestcases/TC_VisibilityType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_BindXmlAutoNamingType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_SqlDirtyType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_FieldMappingCollectionType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_TableAccessModeType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_BindXmlNodeType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_FieldMappingCollectionType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindingType2_Set	SENECA	1-CFA	3971	8965
castor	Ltestcases/TC_ClassMappingAccessType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_TableAccessModeType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindXmlAutoNamingType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_EventListenerList_Simple	SENECA	1-CFA	3176	7059
castor	Ltestcases/TC_BindXmlAutoNamingType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_ClassMappingAccessType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_SqlDirtyType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_FieldTypeCollectionType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_TableAccessModeType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_BindXmlAutoNamingType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindingType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_BindXmlNodeType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_AccessMode_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_EventListenerList_List	SENECA	1-CFA	3942	8970
castor	Ltestcases/TC_FieldMappingCollectionType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_AccessMode_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_EventListenerList_Map	SENECA	1-CFA	3974	8994
castor	Ltestcases/TC_VisibilityType_Map	SENECA	1-CFA	3973	8972
castor	Ltestcases/TC_FieldTypeCollectionType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_FieldMappingCollectionType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_FieldTypeCollectionType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_VisibilityType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_ClassMappingAccessType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_ClassMappingAccessType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindingType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_FieldTypeCollectionType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_BindingType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_BindXmlNodeType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_BindingType2_Map	SENECA	1-CFA	3971	8970
castor	Ltestcases/TC_BindingType2_List	SENECA	1-CFA	3942	8951
castor	Ltestcases/TC_FieldTypeCollectionType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindXmlAutoNamingType_List	SENECA	1-CFA	3941	8948
castor	Ltestcases/TC_VisibilityType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_FieldTypeVisibilityType_Set	SENECA	1-CFA	3966	8953
castor	Ltestcases/TC_BindingType2_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindXmlNodeType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_FieldTypeVisibilityType_Array	SENECA	1-CFA	3199	7082
castor	Ltestcases/TC_BindingType_Simple	SENECA	1-CFA	3175	7047
castor	Ltestcases/TC_AccessMode_Set	SALSA	0-1-CFA	998	2063
castor	Ltestcases/TC_TableAccessModeType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_SqlDirtyType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_SqlDirtyType_Array	SALSA	0-1-CFA	778	1446
castor	Ltestcases/TC_AccessMode_Map	SALSA	0-1-CFA	995	2057
castor	Ltestcases/TC_FieldTypeVisibilityType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_EventListenerList_Set	SALSA	0-1-CFA	986	2046
castor	Ltestcases/TC_SqlDirtyType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_EventListenerList_Array	SALSA	0-1-CFA	777	1443
castor	Ltestcases/TC_FieldTypeVisibilityType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_BindingType2_Simple	SALSA	0-1-CFA	768	1424
castor	Ltestcases/TC_VisibilityType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_FieldMappingCollectionType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_TableAccessModeType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_ClassMappingAccessType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_BindXmlNodeType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_BindingType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_AccessMode_List	SALSA	0-1-CFA	979	2028
castor	Ltestcases/TC_VisibilityType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_BindXmlAutoNamingType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_SqlDirtyType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_FieldMappingCollectionType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_TableAccessModeType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_BindXmlNodeType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_FieldMappingCollectionType_Array	SALSA	0-1-CFA	778	1446
castor	Ltestcases/TC_BindingType2_Set	SALSA	0-1-CFA	988	2047
castor	Ltestcases/TC_ClassMappingAccessType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_TableAccessModeType_Array	SALSA	0-1-CFA	778	1446
castor	Ltestcases/TC_BindXmlAutoNamingType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_EventListenerList_Simple	SALSA	0-1-CFA	961	1988
castor	Ltestcases/TC_BindXmlAutoNamingType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_ClassMappingAccessType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_SqlDirtyType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_FieldTypeCollectionType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_TableAccessModeType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_BindXmlAutoNamingType_Array	SALSA	0-1-CFA	778	1446
castor	Ltestcases/TC_BindingType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_BindXmlNodeType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_AccessMode_Simple	SALSA	0-1-CFA	776	1435
castor	Ltestcases/TC_EventListenerList_List	SALSA	0-1-CFA	971	2020
castor	Ltestcases/TC_FieldMappingCollectionType_Set	SALSA	0-1-CFA	987	2044
castor	Ltestcases/TC_AccessMode_Array	SALSA	0-1-CFA	785	1456
castor	Ltestcases/TC_EventListenerList_Map	SALSA	0-1-CFA	985	2042
castor	Ltestcases/TC_VisibilityType_Map	SALSA	0-1-CFA	986	2040
castor	Ltestcases/TC_FieldTypeCollectionType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_FieldMappingCollectionType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_FieldTypeCollectionType_Simple	SALSA	0-1-CFA	769	1425
castor	Ltestcases/TC_VisibilityType_Array	SALSA	0-1-CFA	778	1446
castor	Ltestcases/TC_ClassMappingAccessType_List	SALSA	0-1-CFA	972	2018
castor	Ltestcases/TC_ClassMappingAccessType_Array	SALSA	0-1-CFA	778	1446
